ID	Complez	Filename_best.model	Virus_name	Virus_accession	Official_name	RBD_accession	Receptor	Receptor_accession	loop2.length	entry	mean_ipTM	median_ipTM	SD	local_iptm_best.model	global_iptm_local_iptm_best.model	global_ptm_best.model	ACE2_residues	X	X.1	X.2	X.3	X.4	X.5	X.6	X.7	X.8
65	WZ2_HACE2_complex	7_WZ2_HACE2_complex_seed-42_sample-0	WZ2	OQ715761.1	WZ2	OQ715761.1	HACE2	gi|13516971:55-2472	long	entry-negative	0.1712	0.18	0.027282473	0.2	0.2	0.69	50,51,54,55,56,59,62,63,121,122,124,125,126,127,128,129,131,141,143,144,145,146,273,274,338,341,343,345,346,347,348,349,375,378,401,402,445,504,505,508,510,514,515,518	NA	NA	NA	NA	NA	NA	NA	NA	NA
66	Q265_HACE2_complex	8_Q265_HACE2_complex_seed-2026_sample-1	Q265	OQ175285.1	Q265	OQ175285.1	HACE2	gi|13516971:55-2472	long	entry-negative	0.15	0.16	0.021213203	0.18	0.18	0.68	47,50,51,53,54,56,59,62,63,121,124,125,126,127,128,129,130,131,143,144,145,146,149,175,271,273,274,335,337,338,339,340,341,342,343,344,345,346,347,348,375,378,401,402,406,445,504,505,508,510,514,515,518,522	NA	NA	NA	NA	NA	NA	NA	NA	NA
67	NV23_HACE2_complex	9_NV23_HACE2_complex_seed-0_sample-0	NV23	C_AA075371.1	NV-SD-L1	C_AA075371.1	HACE2	gi|13516971:55-2472	long	entry-negative	0.142	0.15	0.009574271	0.15	0.15	0.67	134,136,157,159,160,253,254,255,615,616,654,658,659,690,693,694,696,698,699,702	NA	NA	NA	NA	NA	NA	NA	NA	NA
68	HKU5-19S_HACE2_complex	10_HKU5-19S_HACE2_complex_seed-0_sample-0	HKU5-19S	AGP04932	19S	KC522093.1	HACE2	gi|13516971:55-2472	short	entry-negative	0.142	0.14	0.01	0.16	0.16	0.68	280,283,286,287,288,289,290,292,293,294,295,298,299,335,344,363,424,425,427,428,434	NA	NA	NA	NA	NA	NA	NA	NA	NA
69	HKU5-21S_HACE2_complex	11_HKU5-21S_HACE2_complex_seed-0_sample-1	HKU5-21S	AGP04934	21S	KC522095.1	HACE2	gi|13516971:55-2472	short	entry-negative	0.3616	0.15	0.282189062	0.71	0.71	0.78	26,30,33,34,37,41,90,96,321,323,324,325,326,328,329,330,353,354,355,386,387,388,389,393	NA	NA	NA	NA	NA	NA	NA	NA	NA
70	HKU5-22S_HACE2_complex	12_HKU5-22S_HACE2_complex_seed-2026_sample-0	HKU5-22S	AGP04935	22S	KC522096.1	HACE2	gi|13516971:55-2472	short	entry-negative	0.2524	0.14	0.228842741	0.71	0.71	0.76	26,30,33,34,37,41,90,96,323,324,325,326,328,329,330,353,354,355,357,386,387,388,389,393	NA	NA	NA	NA	NA	NA	NA	NA	NA
71	HKU5-31S_HACE2_complex	13_HKU5-31S_HACE2_complex_seed-42_sample-2	HKU5-31S	AGP04941	31S	KC522102.1	HACE2	gi|13516971:55-2472	short	entry-negative	0.1444	0.15	0.012935739	0.17	0.17	0.68	47,50,51,54,55,56,59,62,63,121,122,124,125,126,127,128,129,130,131,139,141,142,143,144,145,146,147,149,150,273,274,338,341,342,343,344,345,346,347,348,375,445,446,449,504,505,508,510,515,518,519,522	NA	NA	NA	NA	NA	NA	NA	NA	NA
72	HKU5-32S_HACE2_complex	14_HKU5-32S_HACE2_complex_seed-0_sample-0	HKU5-32S	AGP04942	32S	KC522103.1	HACE2	gi|13516971:55-2472	short	entry-negative	0.138	0.14	0.01118034	0.15	0.15	0.68	280,283,286,287,288,289,290,292,293,294,295,298,299,335,344,363,423,424,425,427,428,434	NA	NA	NA	NA	NA	NA	NA	NA	NA
73	HKU5-LMH03f_HACE2_complex	15_HKU5-LMH03f_HACE2_complex_seed-2026_sample-0	HKU5-LMH03f	NC009020	HKU5-1_LMH30f	NC_009020.1	HACE2	gi|13516971:55-2472	short	entry-negative	0.1948	0.15	0.097344748	0.39	0.39	0.73	213,221,224,225,227,228,229,232,467,531,575,576,577,578,579,580,581,582	NA	NA	NA	NA	NA	NA	NA	NA	NA
74	BtCoV-SC2013_HACE2_complex	16_BtCoV-SC2013_HACE2_complex_seed-1337_sample-0	BtCoV-SC2013	KJ473821			HACE2	gi|13516971:55-2472		entry-negative	0.1372	0.14	0.007371115	0.15	0.15	0.68	249,253,254,256,257,258,259,600,601,603,607,615,616,697,723,725,726,728	NA	NA	NA	NA	NA	NA	NA	NA	NA
75	Pkuhlii-2011_HACE2_complex	17_Pkuhlii-2011_HACE2_complex_seed-123_sample-2	Pkuhlii-2011	MG596803			HACE2	gi|13516971:55-2472		entry-negative	0.1456	0.15	0.016093477	0.18	0.18	0.68	43,44,47,50,51,54,59,62,65,66,120,121,124,125,126,127,128,129,130,131,139,140,141,142,143,145,146,147,150,335,337,338,341,342,343,344,345,363,394,395,401,402,504,505,508,510,514,515	NA	NA	NA	NA	NA	NA	NA	NA	NA
76	Hsavii-2011_HACE2_complex	18_Hsavii-2011_HACE2_complex_seed-42_sample-0	Hsavii-2011	MG596802			HACE2	gi|13516971:55-2472		entry-negative	0.156	0.16	0.029860788	0.2	0.2	0.69	40,44,47,50,54,55,56,59,62,63,67,114,117,118,121,122,124,125,127,128,129,143,145,146,273,341,343,345,349,350,374,402,406,504,508,510,515,518	NA	NA	NA	NA	NA	NA	NA	NA	NA
77	EjCoV3_HACE2_complex	19_EjCoV3_HACE2_complex_seed-2026_sample-1	EjCoV3	LC706865.1			HACE2	gi|13516971:55-2472		entry-negative	0.1844	0.18	0.033550956	0.25	0.25	0.69	40,43,44,47,50,51,54,55,56,59,62,63,66,69,121,122,124,125,126,128,129,131,139,141,142,143,144,145,146,147,148,149,150,335,338,341,342,343,344,345,347,348,349,361,398,401,402,504,505,508,510,514,515	NA	NA	NA	NA	NA	NA	NA	NA	NA
78	HKU25_HACE2_complex	20_HKU25_HACE2_complex_seed-123_sample-2	HKU25	KX442564.1			HACE2	gi|13516971:55-2472		entry-negative	0.1744	0.18	0.026627054	0.21	0.21	0.69	43,44,47,50,51,54,55,56,59,62,63,66,121,124,125,128,129,131,139,141,142,143,144,145,146,147,148,149,150,335,338,341,343,344,345,347,349,363,398,402,504,505,508,510,514,515	NA	NA	NA	NA	NA	NA	NA	NA	NA
79	HKU5-2-223023_HACE2_complex	21_HKU5-2-223023_HACE2_complex_seed-0_sample-2	HKU5-2-223023	C_AAI84049.1	223023	C_AA085189.1	HACE2	gi|13516971:55-2472		entry-negative	0.2308	0.23	0.040714453	0.3	0.3	0.72	50,51,54,55,56,59,60,62,63,120,121,122,124,125,127,128,129,131,143,145,146,273,341,342,343,344,345,346,347,504,505,508,509,510,511,514,515,518	NA	NA	NA	NA	NA	NA	NA	NA	NA
80	HKU5-2-141441_HACE2_complex	22_HKU5-2-141441_HACE2_complex_seed-2026_sample-3	HKU5-2-141441	C_AA085194.1	141441	C_AA085194.1	HACE2	gi|13516971:55-2472		entry-positive	0.186	0.19	0.027233558	0.22	0.22	0.7	40,43,44,47,50,51,53,54,55,56,59,60,62,63,66,67,69,73,99,117,118,121,122,124,125,127,128,129,131,139,143,341,342,343,344,345,346,347,348,375,378,391,394,398,401,402,504,505,508,509,510,514,515	NA	NA	NA	NA	NA	NA	NA	NA	NA
81	HKU5-2-223028_HACE2_complex	23_HKU5-2-223028_HACE2_complex_seed-0_sample-2	HKU5-2-223028	C_AAI84054.1	223028	C_AA085190.1	HACE2	gi|13516971:55-2472		not-tested	0.2208	0.22	0.031874755	0.26	0.26	0.71	50,51,54,55,56,59,60,62,63,120,121,122,124,125,128,129,131,143,145,341,343,345,346,347,402,504,505,508,510,514,515	NA	NA	NA	NA	NA	NA	NA	NA	NA
82	HKU5-2-220153_HACE2_complex	24_HKU5-2-220153_HACE2_complex_seed-0_sample-0	HKU5-2-220153	C_AAI84059.1	220153	C_AA085191.1	HACE2	gi|13516971:55-2472		not-tested	0.1828	0.19	0.025903668	0.22	0.22	0.7	40,43,47,50,51,54,55,56,57,58,59,60,62,63,66,67,69,70,73,105,118,121,122,124,125,127,128,129,131,139,144,341,343,347,348,349,504,508,510,514	NA	NA	NA	NA	NA	NA	NA	NA	NA
83	HKU5-2-220155_HACE2_complex	25_HKU5-2-220155_HACE2_complex_seed-2026_sample-3	HKU5-2-220155	C_AAI84064.1	220155	C_AA085192.1	HACE2	gi|13516971:55-2472		not-tested	0.1872	0.19	0.027006172	0.22	0.22	0.7	40,43,47,49,50,51,52,53,54,55,56,58,59,60,62,63,66,67,69,70,118,121,122,124,125,127,128,129,131,139,143,341,342,343,344,345,347,348,349,375,378,390,391,394,401,402,504,508,509,510,514,515,562	NA	NA	NA	NA	NA	NA	NA	NA	NA
84	HKU5-2-223381_HACE2_complex	26_HKU5-2-223381_HACE2_complex_seed-2026_sample-1	HKU5-2-223381	C_AAI84069.1	223381	C_AA085193.1	HACE2	gi|13516971:55-2472		not-tested	0.2124	0.22	0.036203131	0.25	0.25	0.7	40,43,44,47,50,51,52,53,54,55,56,59,60,62,63,66,67,69,73,99,102,117,118,121,123,124,125,126,127,128,129,131,341,342,343,344,345,346,347,349,378,390,391,394,398,401,402,504,505,508,510,514,515,562	NA	NA	NA	NA	NA	NA	NA	NA	NA
85	MERS-CoV_HACE2_complex	27_MERS-CoV_HACE2_complex_seed-2026_sample-0	MERS-CoV	YP_009047204.1			HACE2	gi|13516971:55-2472		not-tested	0.1964	0.2	0.01496663	0.22	0.22	0.69	47,50,51,54,55,56,57,58,59,60,62,63,64,67,110,113,114,117,118,120,121,124,125,127,128,129,131,145,199,271,273,274,276,341,342,343,345,346,347,348,349,350,375,378,379,382,398,401,402,445,504,505,507,508,509,510,514,515,518	NA	NA	NA	NA	NA	NA	NA	NA	NA
86	clade2-consensus_HACE2_complex	28_clade2-consensus_HACE2_complex_seed-42_sample-2	clade2-consensus				HACE2	gi|13516971:55-2472		not-tested	0.16	0.16	0.021408721	0.19	0.19	0.69	50,51,54,56,59,62,63,117,118,119,121,122,124,125,126,127,128,129,131,139,141,143,144,145,146,149,271,273,274,338,341,342,343,344,345,346,347,348,349,375,378,401,402,445,449,504,505,508,510,514,515,518,519,522	NA	NA	NA	NA	NA	NA	NA	NA	NA
87	SARS-CoV-2_HACE2_complex	29_SARS-CoV-2_HACE2_complex_seed-2026_sample-1	SARS-CoV-2	YP_009724390.1			HACE2	gi|13516971:55-2472		entry-positive	0.2656	0.13	0.272810679	0.81	0.81	0.8	19,24,27,28,31,34,35,37,38,41,42,45,82,83,325,329,330,353,354,355,357,393	NA	NA	NA	NA	NA	NA	NA	NA	NA
